Participant ID,t2.q18.a1,t2.q18.a1.ch,t2.q18.a1.la,t2.q18.a1.monty,t2.q18.a2,t2.q18.a2.ch,t2.q18.a2.la,t2.q18.a2.monty,t2q18a3,t2.q18.a3.ch,t2.q18.a3.la,t2.q18.a3.monty,t2q18a4,t2.q18.a4.ch,t2.q18.a4.la,t2.q18.a4.monty,t2q18a5,t2.q18.a5.ch,t2.q18.a5.la,t2.q18.a5.monty,t2q1anu,t3q18a1,t3.q18.a1.ch,t3.q18.a1.la,t3.q18.a1.monty,t3q18a2,t3.q18.a2.ch,t3.q18.a2.la,t3.q18.a2.monty,t3q18a3,t3.q18.a3.ch,t3.q18.a3.la,t3.q18.a3.monty,t3q18a4,t3.q18.a4.ch,t3.q18.a4.la,t3.q18.a4.monty,t3q18a5,t3.q18.a5.ch,t3.q18.a5.la,t3.q18.a5.monty,t3q18anu,t2q18b1,t2.q18.b1.ch,t2.q18.b1.la,t2.q18.b1.monty,t2q18b2,t2.q18.b2.ch,t2.q18.b2.la,t2.q18.b2.monty,t2q18b3,t2.q18.b3.ch,t2.q18.b3.la,t2.q18.b3.monty,t2q18b4,t2.q18.b4.ch,t2.q18.b4.la,t2.q18.b4.monty,t2q18b5,t2.q18.b5.ch,t2.q18.b5.la,t2.q18.b5.monty,t2q18bnu,t3q18b1,t3.q18.b1.ch,t3.q18.b1.la,t3.q18.b1.monty,t3q18b2,t3.q18.b2.ch,t3.q18.b2.la,t3.q18.b2.monty,t3q18b3,t3.q18.b3.ch,t3.q18.b3.la,t3.q18.b3.monty,t3q18b4,t3.q18.b4.ch,t3.q18.b4.la,t3.q18.b4.monty,t3q18b5,t3.q18.b5.ch,t3.q18.b5.la,t3.q18.b5.monty,t3q18bnu,t2q19a1,t2.q19.a1.ch,t2.q19.a1.la,t2.q19.a1.monty,t2q19a2,t2.q19.a2.ch,t2.q19.a2.la,t2.q19.a2.monty,t2q19a3,t2.q19.a3.ch,t2.q19.a3.la,t2.q19.a3.monty,t2q19a4,t2.q19.a4.ch,t2.q19.a4.la,t2.q19.a4.monty,t2q19a5,t2.q19.a5.ch,t2.q19.a5.la,t2.q19.a5.monty,t219anu,t3q19a1,t3.q19.a1.ch,t3.q19.a1.la,t3.q19.a1.monty,t3q19a2,t3.q19.a2.ch,t3.q19.a2.la,t3.q19.a2.monty,t3q19a3,t3.q19.a3.ch,t3.q19.a3.la,t3.q19.a3.monty,t3q19a4,t3.q19.a4.ch,t3.q19.a4.la,t3.q19.a4.monty,t3q19a5,t3.q19.a5.ch,t3.q19.a5.la,t3.q19.a5.monty,t319anu,t2q19b1,t2.q19.b1.ch,t2.q19.b1.la,t2.q19.b1.monty,t2q19b2,t2.q19.b2.ch,t2.q19.b2.la,t2.q19.b2.monty,t2q19b3,t2.q19.b3.ch,t2.q19.b3.la,t2.q19.b3.monty,t2q19b4,t2.q19.b4.ch,t2.q19.b4.la,t2.q19.b4.monty,t2q19b5,t2.q19.b5.ch,t2.q19.b5.la,t2.q19.b5.monty,t2q19bnu,t3q19b1,t3.q19.b1.ch,t3.q19.b1.la,t3.q19.b1.monty,t3q19b2,t3.q19.b2.ch,t3.q19.b2.la,t3.q19.b2.monty,t3q19b3,t3.q19.b3.ch,t3.q19.b3.la,t3.q19.b3.monty,t3q19b4,t3.q19.b4.ch,t3.q19.b4.la,t3.q19.b4.monty,t3q19b5,t3.q19.b5.ch,t3.q19.b5.la,t3.q19.b5.monty,t319bnu,t2q20a1,t2.q20.a1.ch,t2.q20.a1.la,t2.q20.a1.monty,t2q20a2,t2.q20.a2.ch,t2.q20.a2.la,t2.q20.a2.monty,t2q20a3,t2.q20.a3.ch,t2.q20.a3.la,t2.q20.a3.monty,t2q20a4,t2.q20.a4.ch,t2.q20.a4.la,t2.q20.a4.monty,t2q20a5,t2.q20.a5.ch,t2.q20.a5.la,t2.q20.a5.monty,t2q20anu,t3q20a1,t3.q20.a1.ch,t3.q20.a1.la,t3.q20.a1.monty,t3q20a2,t3.q20.a2.ch,t3.q20.a2.la,t3.q20.a2.monty,t3q20a3,t3.q20.a3.ch,t3.q20.a3.la,t3.q20.a3.monty,t3q20a4,t3.q20.a4.ch,t3.q20.a4.la,t3.q20.a4.monty,t3q20a5,t3.q20.a5.ch,t3.q20.a5.la,t3.q20.a5.monty,t3q20anu,t2q20b1,t2.q20.b1.ch,t2.q20.b1.la,t2.q20.b1.monty,t2q20b2,t2.q20.b2.ch,t2.q20.b2.la,t2.q20.b2.monty,t2q20b3,t2.q20.b3.ch,t2.q20.b3.la,t2.q20.b3.monty,t2q20b4,t2.q20.b4.ch,t2.q20.b4.la,t2.q20.b4.monty,t2q20b5,t2.q20.b5.ch,t2.q20.b5.la,t2.q20.b5.monty,t2q20bnu,t3q20b1,t3.q20.b1.ch,t3.q20.b1.la,t3.q20.b1.monty,t3q20b2,t3.q20.b2.ch,t3.q20.b2.la,t3.q20.b2.monty,t3q20b3,t3.q20.b3.ch,t3.q20.b3.la,t3.q20.b3.monty,t3q20b4,t3.q20.b4.ch,t3.q20.b4.la,t3.q20.b4.monty,t3q20b5,t3.q20.b5.ch,t3.q20.b5.la,t3.q20.b5.monty,t3q20bnu,t2q21a1,t2.q21.a1.ch,t2.q21.a1.la,t2.q21.a1.monty,t2q21a2,t2.q21.a2.ch,t2.q21.a2.la,t2.q21.a2.monty,t2q21a3,t2.q21.a3.ch,t2.q21.a3.la,t2.q21.a3.monty,t2q21a4,t2.q21.a4.ch,t2.q21.a4.la,t2.q21.a4.monty,t2q21a5,t2.q21.a5.ch,t2.q21.a5.la,t2.q21.a5.monty,t2q21anu,t3q21a1,t3.q21.a1.ch,t3.q21.a1.la,t3.q21.a1.monty,t3q21a2,t3.q21.a2.ch,t3.q21.a2.la,t3.q21.a2.monty,t3q21a3,t3.q21.a3.ch,t3.q21.a3.la,t3.q21.a3.monty,t3q21a4,t3.q21.a4.ch,t3.q21.a4.la,t3.q21.a4.monty,t3q21a5,t3.q21.a5.ch,t3.q21.a5.la,t3.q21.a5.monty,t3q21anu,t2q21b1,t2.q21.b1.ch,t2.q21.b1.la,t2.q21.b1.monty,t2q21b2,t2.q21.b2.ch,t2.q21.b2.la,t2.q21.b2.monty,t2q21b3,t2.q21.b3.ch,t2.q21.b3.la,t2.q21.b3.monty,t2q21b4,t2.q21.b4.ch,t2.q21.b4.la,t2.q21.b4.monty,t2q21b5,t2.q21.b5.ch,t2.q21.b5.la,t2.q21.b5.monty,t2q21bnu,t3q21b1,t3.q21.b1.ch,t3.q21.b1.la,t3.q21.b1.monty,t3q21b2,t3.q21.b2.ch,t3.q21.b2.la,t3.q21.b2.monty,t3q21b3,t3.q21.b3.ch,t3.q21.b3.la,t3.q21.b3.monty,t3q21b4,t3.q21.b4.ch,t3.q21.b4.la,t3.q21.b4.monty,t3q21b5,t3.q21.b5.ch,t3.q21.b5.la,t3.q21.b5.monty,t3q21bnu
253026,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
261133,Access to all - vocational academic,"3,2",2,2,No need to change from school to school,"1,5",1,1,Less disruptive,"5,1",5,1,NA,92,92,,NA,92,92,,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Less focused,2,2,,Students need to be academic led,2,2,,More distractions in school environment,"5,2",5,5,Schools ethos needs to be widened,c3,94,c3,Children require the need to be compeditive,"2,9",2,9,5,Less chance for more/less advanced children to have proper teaching,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Children have a common goal,6,1,6,Less antagonism,"5,4",4,"4,5",Religious education is paramount,7,7,,NA,92,92,,NA,92,92,,3,To keep cultural identity,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Learn to live with other,4,4,,Identify and respect others views,4,4,,Can come together on local decisions,4,4,,Build society - form sub-groups out of schools,4,4,,NA,92,92,,,More understanding between religions,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Has to be interated,4,4,,Integration is working and learning together,4,4,,Allow free time to develop and grow together,4,4,,Gives oopportunities to voice opinion on certain aspects as a group,4,94,4,NA,92,92,,4,Again seeing another persons religions,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Children will develop more segregation if they are educated under the one roof but not together,"6,4",6,"4,6",NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Allow children to develop,3,3,,Allows child to maximise in their development,3,3,,More ready for a change and challenge at 14,3,3,,Can make a stronger contribution to their future,3,3,,NA,92,92,,,Children know better what background to do when they are a bit older,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Some children kept at primary too long,"3,2",3,3,Not allowed to develop at 11-12 when ready,3,3,,Ther enthusiasm may be blocked,3,3,,NA,92,92,,NA,92,92,,3,Too ong in primary school,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
153123,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Child would have a chance of trying out more subjects to make up his/her mind what way they wante to go,"2,5",2,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,No opposition in our group,91,92,92,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,0,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,This was not really discussed in our group,91,91,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,We are all equal and should be treated equal,3,3,,There may not be the troubles in N Ireland we have today,4,4,,Everyone would get on better,4,4,,NA,92,92,,NA,92,92,,,Not discussed in our group,91,91,,Better understanding of both religions,4,4,,Chance to find out more about other side,4,4,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Taught in mixed class a good idea,4,4,,Would go some way to getting children to mix,4,5,5,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,No disagreement in our group,91,91,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,They felt this was better than 11+,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,No opposition that I can remember,91,91,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
234123,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,All children get the same education,2,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Parents went to same school,6,6,,Fear of bullying,5,5,,Strong religious convictions,"6,7",6,6,NA,92,92,,NA,92,92,,3,So they don’t lose their identity,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Provides children with a broader spectrum of life,4,4,,Promotes understanding and tolerance,4,4,,Takes religion out of the equation,"5,4",5,5,NA,92,92,,NA,92,92,,3,To stop segregation,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,"Too much upheaval, cause unsettlement","1,2",4,5,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Might be financially viable,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Less pressure at 11 to choose subjects,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
174058,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,To make life easier all round,1,1,,Convenience,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,To prevent hassle and disagreement,1,4,4,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Some parents are very religious and want their own religions taught,7,6,7,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Bring the communities together,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,For peace,4,4,,To get them to get on together,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,,Teach religion outside school,90,1,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Some parents think children are very young for changing,3,3,,They are not yet big enough to move,3,3,,They would know better what they wanted later,3,3,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
133099,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,No percieved failures at 11,5,5,,Give pupils time to find their own level,"2,5",5,5,A balance available,2,94,4,Society is mixed ability,4,4,,Stronger children could pull weaker ones on,2,2,,5,Cost,1,1,,Unachievable,1,1,,Woul increase travel times,1,1,,Schools would have to be too large,"2,1",1,1,NA,92,92,,4,More academic pupils could move on faster,2,2,,Pupils with less ablity would have more time given to them,2,2,,Subjects could be more focused on the individual,2,2,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Easier for treachers to teach religion,1,7,7,Church holidays etc. easier to maage,1,1,,Promoting the faith,7,6,7,No children would be segregated,4,c4,c4,Squabbling about the various religions,3,4,5,5,Increase integration of the community,4,4,,Increase social skills of the community,4,4,,Reduce costs to the education borads,1,1,,Would solve the problem of bigotry,4,4,,Would increase the overall proficiency of the teaching profession,2,2,,,"Social advantage (know their neighbours, learn to live together)",4,4,,Steer away many of the mistrusts,4,4,,Children would become well balanced,4,4,,Leading to more productive adults. Better community relations between adults,4,4,,NA,92,92,,,Learn to respect eachothers traditions,4,4,,Would take religion as a focal point out of the education system,90,5,90,Reduce the number of overall classrooms & teaching staff,1,1,,NA,92,92,,NA,92,92,,3,Expertise of teachers could be shared between all  the pupils,2,2,,Break down the barriers between schools,4,4,,Solve problems in school budgets,1,1,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Fear of the unknown,4,3,3,Some schols could faind it disruptive,"2,1",1,1,"Distance problems, especially in rural areas",1,1,,NA,92,92,,NA,92,92,,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Natural progression throughout school years,3,3,,Stability for the pupil,3,3,,Extensive pupil profile in place,"3,1",3,3,Budgets would be fair,1,1,,NA,92,92,,4,Schools would need to be too large,1,2,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Children sometimes need change to boost their confidence,3,3,,They move on to more subject focused work,2,3,2,More expertise available in the present,"5,2",2,2,NA,92,92,,NA,92,92,,3
253133,All pupils have same teaching,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,At the end of the day every child should be treated the same,3,3,,Every child gets a fair chance,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,To think that smarter children be treated better,"6,2",2,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Just the way they are brought up to not respect the other side,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Lots of people fed up with being seen to be of one religion by the uniform they use,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Because we make a difference because of religion,4,94,4,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Because they would be older and better able to manage,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
244076,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
203092,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,So they can learn to respect eachother's religion,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
121049,More equality,3,3,,Better research,90,2,90,NA,92,92,,NA,92,92,,NA,92,92,,3,Everyone educated together,3,4,4,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Because some parent would be looking for grammar schools as more elitist,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Own identity,6,6,,Ownership of their ethos,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,,Bigotry,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,To give them a picture of everything,4,94,,Cross-community,4,4,,Better relations,4,4,,NA,92,92,,NA,92,92,,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Culture thing,4,94,4,Learn different cultures,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,"They wouldn't want their children to change school at 11, theyu think 14 is a better age to change",3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,The older children would have a big impact on the younger children,"4,93",4,4,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1
236025,Equality,3,3,,Continuity of care from 11-19,"5,2",5,1,Choice,2,2,,NA,92,92,,NA,92,92,,3,Near hand,1,1,,All getting one choice of teaching,3,3,,School of their own choice,2,1,1,NA,92,92,,NA,92,92,,3,Withdrawing status from Grammar schools,6,6,,Comprehensive system,1,94,1,NA,92,92,,NA,92,92,,NA,92,92,,2,They might not think they would get the teaching they needed for the brighter pupils,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Ethos,6,6,,Principles,6,6,,Unwilling to learn from other religions/faiths,3,3,,No integrations,3,3,,Politics,"3,4",1,90,5,Not to be swayed by other religions,6,3,6,Keep segregation,6,3,3,NA,92,92,,NA,92,92,,NA,92,92,,2,"Equality of pupils, respecting eachother's views","3,4","3,4",,Learning to live as one community rather than two or more,4,4,,Trying to change the NI that we grew up in,4,4,,Building a more diverse world for our children,4,4,,Encouraging openness & fairness to everyone,"3,4",4,"3,4",5,Integration way forward,4,4,,Bring two communities together,4,4,,People need to learn about other religions,4,4,,NA,92,92,,NA,92,92,,,Sharing of views,4,4,,Sharing of ideas,"4,2",4,2,Diversifying,4,4,,Saving money,1,1,,NA,92,92,,4,Integration,4,4,,Mixing both religions,4,4,,Mixing both sexes,90,90,,NA,92,92,,NA,92,92,,,Fear,"4,5",3,"4,5",Unwilling to listen or yield to anothers faith/religion,"3,8",3,8,Seen as 'giving in' on one part or another,3,90,90,NA,92,92,,NA,92,92,,3,Fear,4,3,"4,5",Fear of the other tradition,"4,8",3,4,NA,92,92,,NA,92,92,,NA,92,92,,2,Expenditure,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Keep the children at the same school for long,3,3,,11 is too young to move,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Becoming like schools across the water,90,90,,Too much change at 14 and 16,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,
196125,Equality,3,3,,Choice of subjects willbbe same for all,3,3,,Diversity,4,4,,Parental choice,"2,1",94,1,Student choice,2,2,,5,Everyone given a chance,3,94,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Loose identity & background,9,9,,Less able overlooked,2,2,,More capable overlooked,2,2,,Not enough emphasis on core subjects,2,2,,To difficult to police,5,1,1,5,Those with low ability or in a similar group to those with high,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Continuation of beliefs,7,6,6,Confirmation of identity,6,6,,Good example from peers,6,2,2,Knowing boundaries/discipline,"90,5",94,6,Support & understanding,6,6,,5,Brought up in their faith,"6,7",6,7,"It's traditional, keep to what they know",6,6,,No others,91,94,91,Fear of losing their rights over faith,4,6,4,NA,92,92,,4,Loose identity,c6,c6,,Only leads to increased conflicts,"c4,c5",c5,c5,Loose foundaion & beliefs,c6,c6,,NA,92,92,,NA,92,92,,3,Learn to live together I suppose,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,It broadend views,4,4,,Enlightening,4,4,,Tolerance,4,4,,Reduces misconceptions,4,4,,Acceptable,94,94,,,No idea,91,92,92,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,0,Not necessary,"1,8",1,94,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Too much disruption,1,4,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Fear of change,90,c5,90,Wanting to keep children near,"90,1",1,1,"Good school, why change?",c4,c5,c5,Different educational needs,c2,2,2,Complacency,"c2,c6",94,94,5,No idea sorry,91,91,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,11-14 children are at too advanced stag for younger age,"3,4",3,3,"Too mature to mix with younger age group intellectually, socially and physically","3,4",3,3,NA,92,92,,NA,92,92,,NA,92,92,,2,14 too old when mixing with 7 year olds,4,3,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1
