"ireland_4.t2q18a1","ireland_4.t2q18a2","ireland_4.t2q18a3","ireland_4.t2q18a4","ireland_4.t2q18a5","ireland_4.t2q18anu","ireland_4.t3q18b1","ireland_4.t3q18b2","ireland_4.t3q18b3","ireland_4.t3q18b4","ireland_4.t3q18b5","ireland_4.t3q18bnu","ireland_4.t2q18b1","ireland_4.t2q18b2","ireland_4.t2q18b3","ireland_4.t2q18b4","ireland_4.t2q18b5","ireland_4.t2q18bnu","ireland_4.t3q18b1.1","ireland_4.t3q18b2.1","ireland_4.t3q18b3.1","ireland_4.t3q18b4.1","ireland_4.t3q18b5.1","ireland_4.t3q18bnu.1","ireland_4.t2q19a1","ireland_4.t2q19a2","ireland_4.t2q19a3","ireland_4.t2q19a4","ireland_4.t2q19a5","ireland_4.t2q19anu","ireland_4.t3q19a1","ireland_4.t3q19a2","ireland_4.t3q19a3","ireland_4.t3q19a4","ireland_4.t3q19a5","ireland_4.t3q19anu","ireland_4.t2q19b1","ireland_4.t2q19b2","ireland_4.t2q19b3","ireland_4.t2q19b4","ireland_4.t2q19b5","ireland_4.t2q19bnu","ireland_4.t3q19b1","ireland_4.t3q19b2","ireland_4.t3q19b3","ireland_4.t3q19b4","ireland_4.t3q19b5","ireland_4.t3q19bnu","ireland_4.t2q20a1","ireland_4.t2q20a2","ireland_4.t2q20a3","ireland_4.t2q20a4","ireland_4.t2q20a5","ireland_4.t2q20anu","ireland_4.t3q20a1","ireland_4.t3q20a2","ireland_4.t3q20a3","ireland_4.t3q20a4","ireland_4.t3q20a5","ireland_4.t3q20anu","ireland_4.t2q20b1","ireland_4.t2q20b2","ireland_4.t2q20b3","ireland_4.t2q20b4","ireland_4.t2q20b5","ireland_4.t2q20bnu","ireland_4.t3q20b1","ireland_4.t3q20b2","ireland_4.t3q20b3","ireland_4.t3q20b4","ireland_4.t3q20b5","ireland_4.t3q20bnu","ireland_4.t2q21a1","ireland_4.t2q21a2","ireland_4.t2q21a3","ireland_4.t2q21a4","ireland_4.t2q21a5","ireland_4.t2q21anu","ireland_4.t3q21a1","ireland_4.t3q21a2","ireland_4.t3q21a3","ireland_4.t3q21a4","ireland_4.t3q21a5","ireland_4.t3q21anu","ireland_4.t2q21b1","ireland_4.t2q21b2","ireland_4.t2q21b3","ireland_4.t2q21b4","ireland_4.t2q21b5","ireland_4.t2q21bnu","ireland_4.t3q21b1","ireland_4.t3q21b2","ireland_4.t3q21b3","ireland_4.t3q21b4","ireland_4.t3q21b5","ireland_4.t3q21bnu"
"11","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Religious beliefs","They went there","Cultural/historical reasons","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Mutual respect","Religious education/different cultures learned","All children are equal","Drive out religion from educational sector","Child can have more confidence/social aspect",5,"NA","NA","NA","NA","NA",NA,"Brings dual responsibility, powersharing. 5-10 years it would be classed as normal","Gives both sides as a choice for their input fairly","Social reasons","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Child feeling inadequate/not the same","Different religious groups thinking their culture/beliefs to be 'watered down'","History, background, parents","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Social aspect","Less for child to worry about i.e. moving to a new school","Security element","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Country schools ready to move on","Rural school leavers to travel further","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA
"12","NA","NA","NA","NA","NA",0,"Brighter children would be held back","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Brighter children would be held back","NA","NA","NA","NA",1,"Afraid of trouble","NA","NA","NA","NA",1,"to teach religion in Catholic schools","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"More mixing would teach children to get on better and teach a better understanding of the other side","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Why put them together to separate them","Would be a first step to better understanding","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"No support","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"The younger children would not get a chance","NA","NA","NA","NA",1
"13","Wider choice of subjects - vocational/academic","No discrimination (secondary school/Grammar better)","Offered to all students","Can be streamlined within this system instead of transferred at 11 years","NA",4,"People need to develop at different ages","Brighter pupils may be held back","Boys and girls develop at different stages","NA","NA",3,"Bigger schools - less 'family like'","Have to travel bigger distances","Academics held back","NA","NA",3,"People need to develop at different ages","Brighter pupils may be held back","Boys and girls develop at different stages","NA","NA",3,"Less bullying","Learn traditional culture/history","Adhere to accepted behaviour in their faith","NA","NA",3,"Raise children in culture born into","Need to maintain different values","Might choose a different path","Think they can end up Married","Pure hatred and dislike of other side",5,"Breaks down barriers","Will have to mix anyway later in college, universities","Understand/learn eachother's cultures","NA","NA",3,"Don't have a narrow view","Learn to respect others beliefs","Make schools more visible","Resources better spent","Better education to all pupils with fewer schools",5,"Bullying","NA","NA","NA","NA",1,"Breaks down barriers","More economic sense","NA","NA","NA",2,"Breaks down barriers","Creates better understanding between communities","Build cross-community friendships","Economically better in rural areas maybe","NA",4,"Don't know really how it can be argued","NA","NA","NA","NA",1,"Economical","NA","NA","NA","NA",1,"Economic reasons","Might make rural schools viable","NA","NA","NA",2,"Young children mixing wih older. Younger are intimidated","NA","NA","NA","NA",1,"Older ones might bully","Teenagers to tally different needs than younger children. Too much of an age gap","NA","NA","NA",2
"14","Greater variety of learning","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Children lose their moral identity","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Keeping the child in the right framework","It goes back to Church grounding","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"The children are mixing & learning to get on with life","They won't make a big issue of who they are","They know no different","NA","NA",3,"Children are mixing with other communities and therefor learning more","NA","NA","NA","NA",1,"Letting the children get on with life","They should be taught seperately for R.E.","NA","NA","NA",2,"Teachers are not trained in the same college therefor this could reflect on the child","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"It's giving the children a better scope","They're going to be more ready for the next school","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Are the children going to be ready to take all this in at an early age?","NA","NA","NA","NA",1
"15","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"16","Fairer system","Everybody get the same chance","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"It would be the end of grammar schools","They wouldn not be as 'elite' as grammar schools","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Gives children a better sense of identity","Puts their religious point of view at the forefront","Maintains the status quo","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Create a more balanced society in the future","Less extremist point of view in the future","Broader understanding of eachothers community","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Woud giive a broader understanding of eachother","Let them see that it is pobbible to live and work together closely","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Their faith may become 'diluted' to a certain degree","They may be 'influenced' the the 'other side'","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"17","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Their religious identity won't be lost","NA","NA","NA","NA",1,"Want to keep own culture","Make sure they grow up in own faith","NA","NA","NA",2,"They mix with both communities","NA","NA","NA","NA",1,"Know each other better","Accept the other side I suppose","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Don't know why anybody would","NA","NA","NA","NA",1,"It wouldn' work out","Moving children around from pillar to post and means changing school again","NA","NA","NA",2,"Think primary school is primary","Bigger people wouldn't mix","Keep younger ones separate from bigger ones - not a godd idea","NA","NA",3
"18","NA","NA","NA","NA","NA",0,"It is very limiting","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"It is very limiting","NA","NA","NA","NA",1,"With their friends","sense of community & belonging","NA","NA","NA",2,"Don't want to learn about other faiths","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Would encourage more communication between the communities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"You have to have a dividing line somewhere and it is better to stay the way it is now","NA","NA","NA","NA",1
"19","Better chance for their child","No one could label child","Not know their religion","Mix with other religions","Better job opportunites - outlooks",5,"NA","NA","NA","NA","NA",NA,"Children of all abilities together","Children of higher level with children lower level","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Would work on ly if no religious input ie Priests/Nuns","Maintained or Catholic done away with","No ccms","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Better realtionships at early age","All equal opportunities","Know what eachother do i.e. extra cirricular","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Depends on religion classes","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Confusion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Child of 14 not want to be in same school as child as 7 year old","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA
"20","That people of a lower academic level of education will strive more for a higher academic level","NA","NA","NA","NA",1,"if your child is really good they have a choice to go on","NA","NA","NA","NA",1,"If your child has an ability to do a specific subject they will have the choice to attend a special school","NA","NA","NA","NA",1,"if your child is really good they have a choice to go on","NA","NA","NA","NA",1,"Worried about violence in schools and what security is available","NA","NA","NA","NA",1,"Bring children together before they go into employment","NA","NA","NA","NA",1,"That children grow up to accept people from all religions and wont grow up unable to accept them","So that children have the opportunity to learn about religions other than their own","NA","NA","NA",2,"Fear of change","Bullying might increase","Rows at school","NA","NA",3,"There's no point in combining schools and still keeping children in separate classrooms","NA","NA","NA","NA",1,"It's too late to mix when they leave school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Fear of arguments","NA","NA","NA","NA",1,"At 14 a child who is changing school will strive more at the prospect of changing schools than if they stayed at the same school","NA","NA","NA","NA",1,"Children noot ready at 11 to go to big school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Younger pupils being bullied","NA","NA","NA","NA",1
"21","More equality","Better opportunities for weaker children","Mix with more intelligent children - will rub off","Wideness of cirriculum","More motivation for weaker pupils",5,"No specialist subjects","One rule fits all does not always work","Would  not attract the best teachers","NA","NA",3,"Dragging down children to one level","Disruption in classrooms increased","Dumbing down of subjects","Less time for specialisms","Bad influence on brighter pupils",5,"No specialist subjects","One rule fits all does not always work","Would  not attract the best teachers","NA","NA",3,"Keep our identity","Correct ethos","Not influenced by other religions","Do as parents did","Be with their own sort",5,"No one spoke out","NA","NA","NA","NA",1,"Broad balanced education of all areas of education","More chance of greater choice of subjects","More children of similar ability","See how other half live i.e. that they are just the same as you i.e. teenagers","Get a balanced point of view & appreciate others opinions",5,"To give a rounded education, so that 24 subjects could be offered","More pupils","NA","NA","NA",2,"More chance of better education","Education - leading out","Prepare for wider world","More chance than minority subjects will be taught in a full class","Economics - sharing of experience",5,"Rounded education","To agree to differ","To make up numbers","Able to provide more subjects","NA",4,"I amn narrow minded","I want the kids to stay as they are","NA","NA","NA",2,"No one spoke out","NA","NA","NA","NA",1,"Bridging the 11 gap","14 better age for decision making","NA","NA","NA",2,"English schools mentioned","Thought good idea if 11+ done away with","NA","NA","NA",2,"14 wrong age as children starting to deelop then, unsure of themselves","NA","NA","NA","NA",1,"Keep at primary school until 11","NA","NA","NA","NA",1
"22","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"23","Better chance of getting 'A' Level subjects","Possibly more funding","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Don't want their kids to mix","NA","NA","NA","NA",1,"Some people are bigots, that's the height of it","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Important for people to mix","Get rid of hatred at an early age","Show children that they are the same","NA","NA",3,"It is important for children from different religions","NA","NA","NA","NA",1,"Helps children do subjets that their school may be weak at","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"People wouldn't want children to mix","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Transfer test would need to be","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Pressure put on younger ones","NA","NA","NA","NA",1
"24","All pupils start on a level playing field. No stigma of 11+ failure","All pupils can be taught at a level that suits their needs","All students would have to offer the same curriculum","NA","NA",3,"Because they have been to grammar schools","NA","NA","NA","NA",1,"Must retain adademic education, NI is proud of this","Parent education history, parents may feel all-ability is inferior to current academ/secondary","NA","NA","NA",2,"Because they have been to grammar schools","NA","NA","NA","NA",1,"Religious sector needs to remain divided","Fear of safety of their children - sectarian abuse","It was good for them, let's keep doing it the same way","Fearmof loosing identity of religion/background","NA",4,"Better everyman deals with their so they are in","Stronger if not divided","NA","NA","NA",2,"Helps to break down historical divides both Catholic & Protestant","Helps to promote a more integrated community","We are all the same so why not?","Better education provision. Ecomies of scale etc","NA",4,"Other communities have cross-community schools and it works better so you don't have to fear or be intimidated by eachother","NA","NA","NA","NA",1,"In partnerships there cannot be division - ironic","To divide makes a difference - makes situation worse","NA","NA","NA",2,"Don't like the thought","Superficial if not mixed in class","NA","NA","NA",2,"Fear of change","Fear of mixing/with others","NA","NA","NA",2,"Fear","NA","NA","NA","NA",1,"Overtakes highstakes selection at 11 years old","14 years old is a more suitable age to allow young people to make decisions about careers/academic study","NA","NA","NA",2,"14 is a good age. 14-19 would be better picture of where people would be compared","NA","NA","NA","NA",1,"Logistics/implimentation of scheme","Change primary schools/teachers shortages - surplus","Resources requirements","Fear of change","NA",4,"Change not their way. Parents had done it change would be bad","NA","NA","NA","NA",1
